Date,Flight Number,Site,Pilot,Description,Flight Start Time,# of Missions,Take Off,Mission 1 Start,Mission 1 Stop,Mission 2 Start,Mission 2 Stop,Mission 3 Start,Mission 3 Stop,Touch Down,Top Licor Data,Vehicle Data,Flight Kestrel (Miss Othmar),Weather Data (Met Tower & Miss Baker)
07/08/2021,F38,Yucca Farm ,KB,HP x 3,10:35:19,3,10:36:24,10:39:06,10:41:49,10:43:03,10:45:44,10:46:49,10:49:27,10:51:04,,,,
07/08/2021,F39,Yucca Farm,KB,VP x 2,11:12:26,2,11:13:48,11:15:08,11:18:58,11:19:21,11:23:10,NA,NA,11:24:40,,,,
07/08/2021,F40,Yucca Farm,KB,VP x 3,15:25:17,3,15:26:08,15:27:17,15:31:08,15:31:31,15:35:18,15:35:51,15:39:40,15:41:05,,,,
07/08/2021,F41,Yucca Farm,KB,HP x 3,15:43:02,3,15:43:22,15:44:50,15:47:36,15:48:26,15:51:08,15:51:52,15:55:34,15:55:53,,,,
07/08/2021,F42,Yucca Farm,KB,VP x 2,16:09:28,2,16:09:43,16:11:10,16:15:00,16:15:20,16:19:10,NA,NA,16:20:23,,,,
07/13/2021,F43,Canopy Tower,KB,HP x 1 (Datalogger Not Pressed),9:36:45,1,9:38:02,9:40,9:47,NA,NA,NA,NA,9:51,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
07/13/2021,F44,Canopy Tower,KB,HP x 1,10:25:53,1,10:26:52,10:28:23,10:35:14,10:36:35,NA,NA,NA,10:41:19,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
07/13/2021,F45,Canopy Tower,KB,HP x 2,10:49:34,2,10:50:35,10:51:56,10:58:51,11:00:08,11:07:01,NA,NA,11:08:21,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
07/13/2021,F46,Canopy Tower,KB,VP x 2,11:13:15,2,11:14:05,11:15:33,11:20:02,11:20:23,11:24:52,NA,NA,11:26:53,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
07/13/2021,F47,Carbon Farm,KB,VP x 2,2:20:47,2,2:23:10,2:27:08,2:31:16,2:31:35,2:35:41,NA,NA,2:37:20,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
07/13/2021,F48,Carbon Farm,KB,HP x 2,2:44:01,2,,2:46:43,2:52:27,2:54:06,2:59:47,NA,NA,3:01:05,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
07/13/2021,F49,Carbon Farm,KB,HP x 1 VP x 1,3:31:30,2,3:32:05,3:34:10,,3:41:32,,NA,NA,3:45,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD,NEEDS UPLOAD
